1073074	40883
1495669	36973
765778	32131
842412	31501
873811	30122
2293648	28856
859783	26614
2285243	23101
983911	22879
2390174	22639
1061287	21497
906786	20228
542081	19201
1249048	18087
2253247	17714
952409	17516
1280506	17115
968171	16953
2104327	16378
1207609	16098
1004468	16026
798007	15961
781509	15737
1209835	15306
894883	14328
984684	14147
482090	13903
1053509	13596
1151942	13397
2252729	13022
1440767	12927
596704	12838
770300	12704
1068768	12215
705423	11809
807850	11649
2250663	11614
1049899	11415
942642	11384
320118	11374
931452	11226
1174505	10913
1464487	10335
962088	10330
881764	9803
816264	9464
128931	9349
1171789	9262
863227	8978
1123162	8798
757146	8788
623924	8757
1028594	8603
444335	8324
653534	8150
1919786	8128
2348430	8085
2288607	8084
942866	7948
737128	7559
744772	7442
819112	7438
1341551	7398
1002271	7386
1336953	7313
1244123	7296
938926	7227
459149	7214
780651	7145
527431	7133
420765	7108
2398345	7093
805224	7071
652412	7008
1017271	6952
953015	6894
813569	6893
2390209	6864
788905	6789
1155295	6788
158023	6685
1035167	6625
2279697	6616
950289	6559
785858	6533
1742920	6285
1114770	6264
325158	6256
1254404	6208
1178935	6172
2403227	6158
1287429	6111
869019	6106
853469	6088
497769	6063
935111	6031
497942	5980
600702	5959
2379887	5950
372271	5948
2352698	5942
2374386	5918
1594964	5872
1148073	5849
2416913	5789
1233573	5774
664315	5762
72474	5725
2282704	5676
513590	5674
985788	5672
503141	5668
1187933	5662
917345	5658
1180255	5640
2361911	5614
2436351	5564
853519	5384
703957	5341
2325261	5339
1905234	5326
853600	5321
921889	5295
2282539	5203
2388089	5178
482382	5162
538998	5148
983942	5146
1129819	5123
384772	5098
1881428	5065
1390922	5029
1825240	5027
1880007	4984
865746	4981
352570	4970
2296940	4960
352714	4939
462386	4929
914242	4892
726747	4867
371128	4859
361740	4840
326920	4791
925343	4791
1200218	4772
896080	4762
2281428	4760
28751	4756
2294787	4695
1525595	4663
2276943	4657
1184314	4652
2140158	4624
2269930	4590
2295424	4542
1384619	4530
764602	4526
1124391	4524
934878	4518
966062	4517
2425417	4513
1685799	4513
770306	4458
818349	4447
661919	4392
357466	4392
1276486	4386
24313	4386
966339	4379
41823	4375
785703	4333
2294177	4308
251391	4293
2302766	4268
2192808	4257
1114339	4257
2091512	4241
765169	4215
745312	4196
1328892	4195
2270785	4193
771159	4161
758344	4158
292301	4143
456986	4106
399358	4100
971957	4099
715596	4074
432314	4053
1669877	3960
636839	3949
1255746	3932
1224414	3904
2431767	3866
818778	3866
978879	3823
372851	3807
185250	3783
416153	3747
1154585	3740
418441	3720
1901049	3719
2271712	3719
2280224	3719
332532	3709
884581	3696
1331950	3692
1324247	3643
2341780	3626
1002716	3618
351630	3602
485903	3597
355573	3596
1350684	3596
382400	3580
175036	3568
1737645	3561
413117	3532
1781620	3521
206284	3513
999645	3510
1115477	3473
949071	3472
2479183	3471
480765	3438
981859	3427
740068	3404
1019207	3403
783213	3385
325112	3384
915182	3307
758101	3306
2102468	3291
707380	3290
825086	3252
219380	3227
661483	3216
474376	3200
790895	3193
337527	3161
1752728	3158
557733	3150
1061694	3134
593620	3116
859608	3106
1280204	3095
2269492	3088
557832	3087
887111	3068
859515	3054
944993	3051
288824	3015
2399529	3005
1203416	3004
2423901	2989
2189260	2985
1034008	2974
754219	2972
1361335	2969
2412416	2963
2252051	2963
1400282	2953
874835	2924
2437513	2918
1343420	2912
1264537	2898
773330	2897
1054931	2885
1045600	2865
2439831	2865
252981	2850
346339	2847
1872124	2846
757410	2843
501992	2833
1709733	2825
2299895	2821
932165	2820
1483235	2816
700726	2814
495332	2812
746506	2788
1115534	2788
485056	2787
1108263	2782
886193	2778
2472271	2773
731899	2759
942775	2757
557532	2753
524026	2724
1190710	2723
282345	2718
399061	2713
368985	2710
685822	2709
968656	2698
2217355	2697
478405	2693
1476842	2692
558217	2651
828757	2643
720240	2636
2250201	2628
842562	2626
991300	2623
925436	2616
1263264	2615
879890	2613
1755214	2605
1245673	2587
484532	2583
385088	2581
2106264	2581
354537	2580
380545	2567
1357624	2567
2276946	2562
845746	2556
575330	2553
2378737	2547
1011341	2537
2027596	2537
666413	2531
671199	2529
1193588	2526
1011011	2524
798261	2514
2287284	2509
112651	2502
1070357	2497
516109	2484
1091102	2483
1889729	2481
423527	2481
824205	2469
790512	2461
2340299	2455
291155	2454
1758657	2441
601135	2440
1206449	2437
257793	2436
2210696	2435
1216255	2425
357777	2420
1159452	2416
1569753	2410
1192768	2403
359173	2402
763619	2388
836819	2376
1575739	2365
1260801	2359
528981	2351
999126	2348
2280225	2346
311328	2342
740535	2341
558938	2340
1188740	2327
109570	2326
1101976	2313
1304812	2294
295480	2294
1065834	2291
10112	2285
597111	2285
548907	2284
949856	2271
490956	2256
837869	2255
732994	2253
827903	2245
1473006	2243
1164077	2241
1658809	2238
471261	2226
1074758	2220
2433169	2209
701330	2208
702892	2203
822716	2202
437797	2196
591987	2195
611956	2194
411894	2186
1315700	2174
2208114	2162
584575	2159
2428729	2148
727392	2138
611004	2133
359404	2131
922004	2123
52203	2122
695316	2118
2464474	2116
2434722	2104
480298	2101
493273	2097
889313	2093
919187	2093
34348	2092
141	2091
451250	2089
1395111	2080
1119418	2076
1254944	2070
721804	2070
1520899	2070
947717	2062
632870	2049
441155	2047
351280	2042
1024321	2042
1246152	2042
409214	2040
1133534	2033
390071	2025
2191876	2014
944514	2007
1258913	2001
1746664	1999
1151004	1994
1117851	1989
780952	1987
219763	1986
269969	1986
594170	1984
1171250	1984
717343	1979
788233	1978
971051	1974
1099140	1969
977787	1962
2235601	1962
817667	1959
409025	1955
1107950	1952
1328989	1952
375648	1951
936698	1951
546384	1948
2246377	1947
396221	1943
2400909	1940
1212452	1934
1685877	1932
905422	1925
1211739	1921
1664062	1919
1009278	1915
854509	1911
507278	1911
686601	1908
859718	1901
2335787	1899
1236180	1897
1812414	1893
1001305	1880
2432706	1880
297969	1879
451316	1878
443589	1877
952498	1877
861685	1875
1042921	1874
1279298	1874
53857	1865
917930	1862
905158	1861
387700	1859
53059	1859
558694	1858
567163	1858
386117	1856
33651	1856
1793226	1855
1092468	1848
2310271	1844
2422687	1840
93523	1838
1253246	1830
672013	1829
41384	1819
1210297	1817
929973	1816
2018522	1816
1189295	1803
632130	1802
993306	1802
1080535	1792
2271413	1792
86009	1788
407175	1788
1533028	1787
546878	1783
2436628	1783
1114649	1782
2470061	1781
662526	1776
1441793	1771
1173332	1767
696175	1759
249939	1750
697087	1740
43701	1740
443751	1737
248876	1734
744593	1733
1158561	1729
1959652	1729
778719	1726
1182043	1725
221954	1724
2352193	1723
540457	1721
627629	1720
739262	1719
1470072	1718
944137	1713
774670	1698
412460	1693
990177	1688
814850	1686
909759	1674
2072719	1674
2205633	1671
2236406	1671
1828825	1666
373114	1665
753730	1664
1235110	1664
2169204	1661
213629	1659
753356	1653
579235	1650
801074	1646
376552	1646
409164	1645
1347474	1645
486008	1644
2295884	1643
147210	1642
1241266	1642
1961109	1639
2103097	1638
1913010	1634
347136	1632
1147361	1632
879193	1629
2123275	1627
1293912	1623
861289	1619
467337	1619
537048	1614
478917	1610
1268344	1610
1001507	1609
592509	1609
649373	1602
2225625	1601
2367460	1601
130104	1599
532522	1598
431135	1596
751751	1595
127712	1593
503486	1592
808175	1590
1017988	1590
431082	1588
465300	1584
626406	1584
